"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0524"	2525	2156	2625	3108	3505	5351
"ECs_0525"	2750	2623	3228	3548	3750	5049
"ECs_0526"	3536	3244	3502	15193	16360	23014
"ECs_0527"	7787	6976	8359	13029	15192	20957
"ECs_0528"	1181	1172	1482	2645	2883	2562
"ECs_0529"	197	179	209	318	367	384
"ECs_0530"	12707	11571	11134	3546	3937	5423
"ECs_0531"	2798	2619	3347	6917	6916	8986
"ECs_0532"	1048	885	1002	735	684	1073
"ECs_0533"	879	776	923	1706	1565	2626
"ECs_0534"	517	378	517	778	923	1265
"ECs_0535"	7374	6046	7329	7373	7658	11257
"ECs_0536"	7336	6020	7163	6656	7680	10079
"ECs_0537"	4909	5021	7602	23615	21023	24234
"ECs_0538"	165	178	198	3745	4756	6684
"ECs_0539"	393	370	412	5914	6887	9404
"ECs_0540"	398	407	356	8725	11031	12376
"ECs_0541"	430	494	550	13125	12018	12203
"ECs_0542"	659	858	1280	2026	1705	1491
"ECs_0543"	142	130	171	236	202	242
"ECs_0544"	123	135	152	177	160	226
"ECs_0545"	111	115	140	153	164	204
"ECs_0546"	38	42	68	22	37	46
"ECs_0548"	129	126	142	93	77	164
"ECs_0549"	1057	925	1219	1103	1251	1727
"ECs_0551"	284	458	760	762	513	439
"ECs_0552"	1620	1281	1539	1977	2350	3089
"ECs_0553"	252	196	247	314	348	534
"ECs_0554"	152	126	130	185	200	328
"ECs_0555"	1210	1282	1674	4191	4366	4871
"ECs_0556"	776	737	1013	1287	1369	1739
"ECs_0557"	312	349	545	1188	1105	1380
"ECs_0558"	238	276	369	903	793	906
"ECs_0559"	292	233	342	1043	673	1181
"ECs_0560"	513	537	542	336	377	421
"ECs_0561"	20	19	23	9	17	21
"ECs_0563"	155	110	120	120	126	185
"ECs_0564"	489	325	422	381	220	514
"ECs_0565"	26	25	33	48	40	79
"ECs_0566"	39	24	38	41	49	78
"ECs_0567"	1048	934	1001	2201	2061	3412
"ECs_0568"	57	58	50	79	99	112
"ECs_0569"	9	4	5	8	6	19
"ECs_0570"	68	44	55	93	124	191
"ECs_0572"	25	9	14	18	12	51
"ECs_0573"	117	76	100	167	156	244
"ECs_0575"	58	48	43	354	356	625
"ECs_0576"	22	8	13	47	44	107
"ECs_0577"	127	103	114	261	302	416
"ECs_0578"	104	83	67	138	179	210
"ECs_0579"	43	50	48	49	46	69
"ECs_0580"	13	22	28	53	26	40
"ECs_0581"	41	54	61	76	74	79
"ECs_0582"	35	33	44	28	44	47
"ECs_0583"	101	76	89	512	506	612
"ECs_0584"	782	871	1114	12138	10222	12879
"ECs_0585"	477	400	483	4967	4721	6463
"ECs_0586"	2091	1820	2279	1759	1958	2697
"ECs_0587"	7154	6535	7717	10546	12284	17509
"ECs_0588"	3041	3248	4023	3897	3789	4609
"ECs_0589"	355	322	349	286	257	420
"ECs_0590"	95	149	271	427	149	213
"ECs_0591"	2761	2573	2831	4860	4113	7206
"ECs_0592"	53	33	27	103	65	175
"ECs_0593"	48	37	50	33	42	48
"ECs_0594"	81	45	60	66	60	124
"ECs_0595"	16	9	10	18	12	36
"ECs_0596"	16	15	12	8	15	19
"ECs_0597"	13	6	16	17	14	22
"argU"	36	42	52	17	23	39
"ECs_0598"	571	553	639	188	221	315
"ECs_0599"	879	813	923	155	214	222
"ECs_0600"	3786	3596	4346	701	737	892
"ECs_0601"	3873	3534	4012	514	498	717
"ECs_0602"	126	114	118	152	168	213
"ECs_0603"	179	158	261	407	317	404
"ECs_0604"	114	90	96	216	240	312
"ECs_0605"	209	207	285	450	336	511
"ECs_0606"	15	16	8	14	15	20
"ECs_0607"	31	23	24	32	26	51
"ECs_0608"	414	446	512	1371	1317	1834
"ECs_0609"	585	528	623	1357	1221	1884
