"gene_id","gene_name"
"ggt",NA
"yhhA",NA
"ugpQ",NA
"ugpC",NA
"ugpE",NA
"ugpA",NA
"ugpB",NA
"ECs4300","ECs4300"
"livF",NA
"livG",NA
"livM",NA
"livH",NA
"livK",NA
"ECs4307","ECs4307"
"ECs4308","ECs4308"
"livK",NA
"yhhN",NA
"yhhQ",NA
"yhhT",NA
"ECs4324","ECs4324"
"ECs4326","ECs4326"
"ECs4327","ECs4327"
"ECs4328","ECs4328"
"ECs4329","ECs4329"
"ECs4330","ECs4330"
"ECs4331","ECs4331"
"ECs4332","ECs4332"
"ECs4333","ECs4333"
"ECs4335","ECs4335"
"ECs4336","ECs4336"
"ECs4337","ECs4337"
"fabF",NA
"ECs4339","ECs4339"
"fabG",NA
"ECs4349","ECs4349"
"ECs4350","ECs4350"
"yhiM",NA
"yhiN",NA
"uspB",NA
"uspA",NA
"dtpB",NA
"prlC",NA
"ECs4376","ECs4376"
"slp",NA
"dctR",NA
"ECs4379","ECs4379"
"yhiD",NA
"hdeB",NA
"hdeA",NA
"hdeD",NA
"gadE",NA
"ECs5757","ECs5757"
"mdtE",NA
"acrB5",NA
"gadW",NA
"gadX",NA
"gadA2",NA
"treF",NA
"yhjC",NA
"yhjD",NA
"yhjE",NA
"yhjG",NA
"yhjH",NA
"dctA",NA
"yhjQ",NA
"yhjR",NA
"bcsF",NA
"bcsG",NA
"yhjV",NA
"dppD",NA
"dppC",NA
"dppB",NA
"dppA",NA
"proK",NA
"lpfB",NA
"yhjY",NA
"yiaD",NA
"ghrB",NA
"yiaG",NA
"cspA",NA
"stm",NA
"ysaB",NA
"aldB",NA
"selB",NA
"yibF",NA
"yibI",NA
"mtlA",NA
"yibT",NA
"lldP2",NA
"lldR",NA
"lldD",NA
"tdh",NA
"kbl",NA
"mutM",NA
"rpmG",NA
"rpmB",NA
"pyrE",NA
"yicG",NA
"xanP",NA
"selC",NA
"ECs4534","ECs4534"
"ECs4537","ECs4537"
"ECs4546","ECs4546"
"sepL",NA
"espH",NA
"sepQ",NA
"cesD",NA
"grlA",NA
"grlR",NA
"ipgF",NA
"nlpA",NA
"nepI",NA
"adeP",NA
"uhpC",NA
"uhpB",NA
"uhpA",NA
"ECs4610","ECs4610"
"ilvN",NA
"ilvB",NA
"emrD",NA
"ibpB",NA
"ibpA",NA
"yidQ",NA
"rnpA",NA
"yieH",NA
"espY5",NA
"asnA",NA
"rbsD",NA
"rbsA",NA
"rbsC",NA
"rbsB",NA
"rbsK",NA
"gltU",NA
"rrlC",NA
"yifE",NA
"yifB",NA
"ECs4701","ECs4701"
"ilvG",NA
"ilvM",NA
"ilvE",NA
"ilvD",NA
"ilvC",NA
"ECs5764","ECs5764"
"wecA",NA
"argX",NA
"hisR",NA
"tRNA51",NA
"proM2",NA
"aslB",NA
"rarD",NA
"yigM",NA
"metR",NA
